Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,heads,negative_slope,dropout,num_layers,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runjxoxxc7t_GAT_Variant_hyperqvczgpcu,2.77,29.89,69.0,81.92,96.68,98.34,28.32,2.77,29.89,69.0,81.92,96.68,98.34,97.8,97.34,83.76,16,32,4,0.1,0.0,1,0.015,1,2,64,1,1,0.1,inner,1000,0.0438292026519775,0.0485672950744628,22976
cora_runjxoxxc7t_GAT_Variant_hyper8pyuiraf,23.99,29.89,81.73,92.25,96.31,97.97,44.39,23.99,29.89,81.73,92.25,96.31,97.97,98.37,98.31,94.56,16,32,4,0.1,0.0,1,0.015,1,2,64,1,1,0.1,dot,1000,0.0434486865997314,0.0483639240264892,22993
cora_runjxoxxc7t_GAT_Variant_hyper0h1tinva,23.99,29.89,81.73,92.25,96.31,97.97,44.39,23.99,29.89,81.73,92.25,96.31,97.97,98.37,98.31,94.56,16,32,4,0.1,0.0,1,0.015,1,2,64,1,2,0.1,inner,1000,0.0411992073059082,0.0458986759185791,22976
cora_runjxoxxc7t_GAT_Variant_hyperu69930wx,23.99,92.25,95.02,96.31,98.52,98.89,90.54,23.99,92.25,95.02,96.31,98.52,98.89,99.24,99.45,96.49,16,32,4,0.1,0.0,1,0.015,1,2,64,1,2,0.1,dot,1000,0.0486419200897216,0.0536701679229736,24129
cora_runjxoxxc7t_GAT_Variant_hyperwgmbkz6t,31.0,92.25,95.02,96.31,98.52,98.89,90.54,31.0,92.25,95.02,96.31,98.52,98.89,99.24,99.45,96.49,16,32,4,0.1,0.0,1,0.015,1,2,64,1,3,0.1,inner,1000,0.0410451889038085,0.0456926822662353,22976
cora_runjxoxxc7t_GAT_Variant_hyper9wt6g9f8,76.75,92.25,95.02,96.31,98.52,98.34,80.29,76.75,92.25,95.02,96.31,98.52,98.34,99.24,99.45,96.31,16,32,4,0.1,0.0,1,0.015,1,2,64,1,3,0.1,dot,1000,0.0484580993652343,0.0535242557525634,28289
cora_runjxoxxc7t_GAT_Variant_hyperqkwxcvts,76.75,92.25,95.02,96.31,98.52,98.34,80.29,76.75,92.25,95.02,96.31,98.52,98.34,99.24,99.45,96.31,16,32,4,0.1,0.0,1,0.015,1,2,32,1,1,0.1,inner,1000,0.0407624244689941,0.0455176830291748,22976
cora_runjxoxxc7t_GAT_Variant_hyperxm0wv8g3,76.75,92.25,95.02,96.31,98.52,98.34,80.29,76.75,92.25,95.02,96.31,98.52,98.34,99.24,99.45,96.31,16,32,4,0.1,0.0,1,0.015,1,2,32,1,1,0.1,dot,1000,0.0436236858367919,0.0484323501586914,22993
cora_runjxoxxc7t_GAT_Variant_hyperf42z3q1g,76.75,92.25,95.02,96.31,98.52,98.34,80.29,76.75,92.25,95.02,96.31,98.52,98.34,99.24,99.45,96.31,16,32,4,0.1,0.0,1,0.015,1,2,32,1,2,0.1,inner,1000,0.0418870449066162,0.0464975833892822,22976
cora_runjxoxxc7t_GAT_Variant_hyperufbmev25,70.48,90.22,95.02,96.31,98.52,98.34,80.94,70.48,90.22,95.02,96.31,98.52,98.34,99.09,99.28,96.31,16,32,4,0.1,0.0,1,0.015,1,2,32,1,2,0.1,dot,1000,0.0464527606964111,0.0513582229614257,23553
