Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,num_layers,base_lr,mlp_layer,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
Tune,20.3,49.63,76.75,85.61,93.73,98.71,38.07,20.3,49.63,76.75,85.61,93.73,98.71,97.98,97.88,92.44,16,16,1,0.015,1,1,2,64,1,1,0.1,inner,1000,0.1628577709197998,0.1790649890899658,22944
Tune,63.28,81.37,88.19,93.36,95.2,97.6,72.08,63.28,81.37,88.19,93.36,95.2,97.6,97.79,98.45,94.0,16,16,1,0.015,1,1,2,64,1,1,0.1,dot,1000,0.1354734897613525,0.1515309810638427,22961
Tune,63.28,81.37,88.19,93.36,95.2,97.6,72.08,63.28,81.37,88.19,93.36,95.2,97.6,97.79,98.45,94.0,16,16,1,0.015,1,1,2,64,1,2,0.1,inner,1000,0.1298229694366455,0.1430206298828125,22944
Tune,41.51,88.01,94.65,95.76,96.86,97.6,66.12,41.51,88.01,94.65,95.76,96.86,97.6,98.62,98.86,95.94,16,16,1,0.015,1,1,2,64,1,2,0.1,dot,1000,0.1430559158325195,0.1575865745544433,24097
Tune,41.51,88.01,94.65,95.76,96.86,97.6,66.12,41.51,88.01,94.65,95.76,96.86,97.6,98.62,98.86,95.94,16,16,1,0.015,1,1,2,64,1,3,0.1,inner,1000,0.1297035217285156,0.145416259765625,22944
Tune,41.51,88.01,94.65,95.76,97.97,97.6,66.12,41.51,88.01,94.65,95.76,97.97,97.6,98.62,98.86,95.94,16,16,1,0.015,1,1,2,64,1,3,0.1,dot,1000,0.1486563682556152,0.1642932891845703,28257
Tune,41.51,88.01,94.65,95.76,97.97,97.6,66.12,41.51,88.01,94.65,95.76,97.97,97.6,98.62,98.86,95.94,16,16,1,0.015,1,1,2,32,1,1,0.1,inner,1000,0.1223762035369873,0.1369080543518066,22944
Tune,41.51,88.01,94.65,95.76,97.97,97.6,66.12,41.51,88.01,94.65,95.76,97.97,97.6,98.62,98.86,95.94,16,16,1,0.015,1,1,2,32,1,1,0.1,dot,1000,0.1287050247192382,0.1435363292694091,22961
Tune,41.51,88.01,94.65,95.76,97.97,97.6,66.12,41.51,88.01,94.65,95.76,97.97,97.6,98.62,98.86,95.94,16,16,1,0.015,1,1,2,32,1,2,0.1,inner,1000,0.1237413883209228,0.1383285522460937,22944
Tune,41.51,88.01,94.65,95.57,96.68,97.97,66.12,41.51,88.01,94.65,95.57,96.68,97.97,98.62,98.86,96.12,16,16,1,0.015,1,1,2,32,1,2,0.1,dot,1000,0.1471459865570068,0.1718137264251709,23521
Tune,41.51,88.01,94.65,95.57,96.68,97.97,66.12,41.51,88.01,94.65,95.57,96.68,97.97,98.62,98.86,96.12,16,16,1,0.015,1,1,2,32,1,3,0.1,inner,1000,0.1309506893157959,0.1455335617065429,22944
Tune,41.51,88.01,94.65,95.57,97.97,99.08,66.12,41.51,88.01,94.65,95.57,97.97,99.08,99.16,99.3,96.12,16,16,1,0.015,1,1,2,32,1,3,0.1,dot,1000,0.1464827060699463,0.1624462604522705,24577
Tune,41.51,88.01,94.65,95.57,97.97,99.08,66.12,41.51,88.01,94.65,95.57,97.97,99.08,99.16,99.3,96.12,16,16,1,0.015,1,1,2,16,1,1,0.1,inner,1000,0.1335060596466064,0.149094820022583,22944
Tune,66.97,88.01,94.65,95.57,97.97,99.08,73.6,66.97,88.01,94.65,95.57,97.97,99.08,99.16,99.3,96.12,16,16,1,0.015,1,1,2,16,1,1,0.1,dot,1000,0.1338398456573486,0.1487534046173095,22961
Tune,66.97,88.01,94.65,95.57,97.97,99.08,73.6,66.97,88.01,94.65,95.57,97.97,99.08,99.16,99.3,96.12,16,16,1,0.015,1,1,2,16,1,2,0.1,inner,1000,0.1310396194458007,0.1458799839019775,22944
Tune,69.93,88.01,95.57,96.49,97.79,99.08,73.6,69.93,88.01,95.57,96.49,97.79,99.08,99.16,99.3,96.86,16,16,1,0.015,1,1,2,16,1,2,0.1,dot,1000,0.1468734741210937,0.1619782447814941,23233
Tune,69.93,88.01,95.57,96.49,97.79,99.08,73.6,69.93,88.01,95.57,96.49,97.79,99.08,99.16,99.3,96.86,16,16,1,0.015,1,1,2,16,1,3,0.1,inner,1000,0.1314742565155029,0.1463499069213867,22944
Tune,20.3,49.63,76.75,85.61,93.73,98.71,38.07,20.3,49.63,76.75,85.61,93.73,98.71,97.98,97.88,92.44,16,16,1,0.015,1,1,2,64,1,1,0.1,inner,1000,0.1237478256225586,0.1367983818054199,22944
Tune,63.28,81.37,88.19,93.36,95.2,97.6,72.08,63.28,81.37,88.19,93.36,95.2,97.6,97.79,98.45,94.0,16,16,1,0.015,1,1,2,64,1,1,0.1,dot,1000,0.1246023178100586,0.1388442516326904,22961
Tune,63.28,81.37,88.19,93.36,95.2,97.6,72.08,63.28,81.37,88.19,93.36,95.2,97.6,97.79,98.45,94.0,16,16,1,0.015,1,1,2,64,1,2,0.1,inner,1000,0.1161806583404541,0.1289026737213134,22944
Tune,41.51,88.01,94.65,95.76,96.86,97.6,66.12,41.51,88.01,94.65,95.76,96.86,97.6,98.62,98.86,95.94,16,16,1,0.015,1,1,2,64,1,2,0.1,dot,1000,0.1277828216552734,0.1385498046875,24097
Tune,41.51,88.01,94.65,95.76,96.86,97.6,66.12,41.51,88.01,94.65,95.76,96.86,97.6,98.62,98.86,95.94,16,16,1,0.015,1,1,2,64,1,3,0.1,inner,1000,0.115002155303955,0.1276617050170898,22944
Tune,41.51,88.01,94.65,95.76,97.97,97.6,66.12,41.51,88.01,94.65,95.76,97.97,97.6,98.62,98.86,95.94,16,16,1,0.015,1,1,2,64,1,3,0.1,dot,1000,0.1269598007202148,0.1399075984954834,28257
Tune,41.51,88.01,94.65,95.76,97.97,97.6,66.12,41.51,88.01,94.65,95.76,97.97,97.6,98.62,98.86,95.94,16,16,1,0.015,1,1,2,32,1,1,0.1,inner,1000,0.1076247692108154,0.1192138195037841,22944
Tune,41.51,88.01,94.65,95.76,97.97,97.6,66.12,41.51,88.01,94.65,95.76,97.97,97.6,98.62,98.86,95.94,16,16,1,0.015,1,1,2,32,1,1,0.1,dot,1000,0.1299095153808593,0.1427032947540283,22961
Tune,41.51,88.01,94.65,95.76,97.97,97.6,66.12,41.51,88.01,94.65,95.76,97.97,97.6,98.62,98.86,95.94,16,16,1,0.015,1,1,2,32,1,2,0.1,inner,1000,0.1164596080780029,0.1291117668151855,22944
Tune,40.41,52.03,78.23,87.64,94.46,97.97,51.54,40.41,52.03,78.23,87.64,94.46,97.97,97.49,98.13,91.14,16,16,1,0.015,1,1,2,64,1,1,0.1,inner,10000,0.07879638671875,0.0863125324249267,22944
cora_runcsi7abkp_GIN_Variant_hyperz1zwqkys,40.41,52.03,78.23,87.82,94.65,97.97,51.54,40.41,52.03,78.23,87.82,94.65,97.97,97.48,98.13,91.14,16,16,1,0.015,1,1,2,64,1,1,0.1,inner,10000,0.0833959579467773,0.0910911560058593,22944
Tune,55.72,88.01,91.7,92.44,95.57,96.31,81.95,55.72,88.01,91.7,92.44,95.57,96.31,97.88,98.42,95.11,16,16,1,0.015,1,1,2,64,1,1,0.1,dot,10000,0.1915833950042724,0.1989290714263916,22961
cora_runcsi7abkp_GIN_Variant_hyperxhmlio1g,68.45,90.41,91.7,92.44,95.2,96.86,78.68,68.45,90.41,91.7,92.44,95.2,96.86,97.86,98.46,95.2,16,16,1,0.015,1,1,2,64,1,1,0.1,dot,10000,0.1368763446807861,0.1829030513763427,22961
Tune,55.72,88.01,91.7,92.44,95.57,96.31,81.95,55.72,88.01,91.7,92.44,95.57,96.31,97.88,98.42,95.11,16,16,1,0.015,1,1,2,64,1,2,0.1,inner,10000,0.1153254508972168,0.1234598159790039,22944
cora_runcsi7abkp_GIN_Variant_hyperafh9dpul,68.45,90.41,91.7,92.44,95.2,96.86,78.68,68.45,90.41,91.7,92.44,95.2,96.86,97.86,98.46,95.2,16,16,1,0.015,1,1,2,64,1,2,0.1,inner,10000,0.1917316913604736,0.1998207569122314,22944
Tune,40.41,52.03,78.23,84.5,94.28,97.42,51.54,40.41,52.03,78.23,84.5,94.28,97.42,97.35,97.51,86.26,16,16,1,0.015,1,1,2,64,1,1,0.1,inner,2000,0.1068868637084961,0.1135065555572509,22944
Tune,91.33,90.96,92.44,94.1,95.57,97.79,91.09,91.33,90.96,92.44,94.1,95.57,97.79,98.53,98.8,95.76,16,16,1,0.015,1,1,2,64,1,1,0.1,dot,2000,0.0977084636688232,0.1043453216552734,22961
Tune,91.33,90.96,92.44,94.1,95.57,97.79,91.09,91.33,90.96,92.44,94.1,95.57,97.79,98.53,98.8,95.76,16,16,1,0.015,1,1,2,64,1,2,0.1,inner,2000,0.1391944885253906,0.1456124782562255,22944
Tune,40.41,52.03,78.23,84.5,94.28,96.31,51.54,40.41,52.03,78.23,84.5,94.28,96.31,97.4,97.76,86.26,16,16,1,0.015,1,1,2,64,1,1,0.1,inner,2000,0.1108379364013671,0.1175501346588134,22944
Tune,91.33,90.96,92.44,94.1,95.57,97.79,91.09,91.33,90.96,92.44,94.1,95.57,97.79,99.21,99.36,95.76,16,16,1,0.015,1,1,2,64,1,2,0.1,dot,2000,0.146735668182373,0.1535735130310058,24097
Tune,88.75,92.25,94.28,93.54,95.02,97.6,90.1,88.75,92.25,94.28,93.54,95.02,97.6,98.32,98.83,95.66,16,16,1,0.015,1,1,2,64,1,1,0.1,dot,2000,0.1181130409240722,0.1250100135803222,22961
Tune,88.75,92.25,94.28,93.54,95.02,97.6,90.1,88.75,92.25,94.28,93.54,95.02,97.6,98.32,98.83,95.66,16,16,1,0.015,1,1,2,64,1,2,0.1,inner,2000,0.0739092826843261,0.0805084705352783,22944
Tune,88.75,92.25,94.28,93.54,95.02,97.6,90.1,88.75,92.25,94.28,93.54,95.02,97.6,99.11,99.31,95.66,16,16,1,0.015,1,1,2,64,1,2,0.1,dot,2000,0.1028459072113037,0.1107242107391357,24097
Tune,88.75,92.25,94.28,93.54,95.02,97.6,90.1,88.75,92.25,94.28,93.54,95.02,97.6,99.11,99.31,95.66,16,16,1,0.015,1,1,2,64,1,3,0.1,inner,2000,0.1143405437469482,0.1219046115875244,22944
Tune,88.75,93.73,95.76,96.68,97.97,99.26,90.1,88.75,93.73,95.76,96.68,97.97,99.26,99.44,99.29,95.66,16,16,1,0.015,1,1,2,64,1,3,0.1,dot,2000,0.1105940341949462,0.1177661418914794,28257
Tune,88.75,93.73,95.76,96.68,97.97,99.26,90.1,88.75,93.73,95.76,96.68,97.97,99.26,99.44,99.29,95.66,16,16,1,0.015,1,1,2,32,1,1,0.1,inner,2000,0.0968923568725586,0.1042847633361816,22944
Tune,88.75,93.73,95.76,96.68,97.97,99.26,90.1,88.75,93.73,95.76,96.68,97.97,99.26,99.44,99.29,95.66,16,16,1,0.015,1,1,2,32,1,1,0.1,dot,2000,0.0867257118225097,0.0943379402160644,22961
Tune,88.75,93.73,95.76,96.68,97.97,99.26,90.1,88.75,93.73,95.76,96.68,97.97,99.26,99.44,99.29,95.66,16,16,1,0.015,1,1,2,32,1,2,0.1,inner,2000,0.138401985168457,0.1456086635589599,22944
Tune,88.75,93.73,95.76,96.68,97.97,99.26,90.1,88.75,93.73,95.76,96.68,97.97,99.26,99.3,99.29,95.66,16,16,1,0.015,1,1,2,32,1,2,0.1,dot,2000,0.1250674724578857,0.1321868896484375,23521
Tune,88.75,93.73,95.76,96.68,97.97,99.26,90.1,88.75,93.73,95.76,96.68,97.97,99.26,99.3,99.29,95.66,16,16,1,0.015,1,1,2,32,1,3,0.1,inner,2000,0.1186740398406982,0.1253364086151123,22944
Tune,88.75,94.83,95.76,96.13,97.42,99.26,90.1,88.75,94.83,95.76,96.13,97.42,99.26,98.97,99.24,95.66,16,16,1,0.015,1,1,2,32,1,3,0.1,dot,2000,0.1196300983428955,0.1268677711486816,24577
Tune,88.75,94.83,95.76,96.13,97.42,99.26,90.1,88.75,94.83,95.76,96.13,97.42,99.26,98.97,99.24,95.66,16,16,1,0.015,1,1,2,16,1,1,0.1,inner,2000,0.1184761524200439,0.125300645828247,22944
Tune,88.75,94.83,95.76,96.13,97.42,99.26,90.1,88.75,94.83,95.76,96.13,97.42,99.26,98.97,99.24,95.66,16,16,1,0.015,1,1,2,16,1,1,0.1,dot,2000,0.1079623699188232,0.1148815155029296,22961
Tune,88.75,94.83,95.76,96.13,97.42,99.26,90.1,88.75,94.83,95.76,96.13,97.42,99.26,98.97,99.24,95.66,16,16,1,0.015,1,1,2,16,1,2,0.1,inner,2000,0.111973762512207,0.1185553073883056,22944
Tune,88.75,94.83,95.76,96.13,97.42,99.26,90.1,88.75,94.83,95.76,96.13,97.42,99.26,98.97,99.24,95.66,16,16,1,0.015,1,1,2,16,1,2,0.1,dot,2000,0.102985143661499,0.1100320816040039,23233
Tune,88.75,94.83,95.76,96.13,97.42,99.26,90.1,88.75,94.83,95.76,96.13,97.42,99.26,98.97,99.24,95.66,16,16,1,0.015,1,1,2,16,1,3,0.1,inner,2000,0.0863351821899414,0.0930347442626953,22944
Tune,88.75,94.83,95.76,96.13,97.42,99.26,90.1,88.75,94.83,95.76,96.13,97.42,99.26,98.97,99.24,96.22,16,16,1,0.015,1,1,2,16,1,3,0.1,dot,2000,0.1141672134399414,0.1222550868988037,23505
Tune,88.75,94.83,95.76,96.13,97.42,99.26,90.1,88.75,94.83,95.76,96.13,97.42,99.26,98.97,99.24,96.22,16,16,1,0.015,1,2,2,64,1,1,0.1,inner,2000,0.1310315132141113,0.1375598907470703,22944
Tune,88.75,94.83,95.76,96.13,97.42,99.26,90.1,88.75,94.83,95.76,96.13,97.42,99.26,98.97,99.24,96.22,16,16,1,0.015,1,2,2,64,1,1,0.1,dot,2000,0.1125373840332031,0.1194291114807128,22961
Tune,88.75,94.83,95.76,96.13,97.42,99.26,90.1,88.75,94.83,95.76,96.13,97.42,99.26,98.97,99.24,96.22,16,16,1,0.015,1,2,2,64,1,2,0.1,inner,2000,0.1154873371124267,0.1220424175262451,22944
Tune,88.75,94.83,95.76,96.13,97.42,99.26,90.1,88.75,94.83,95.76,96.13,97.42,99.26,98.97,99.41,96.22,16,16,1,0.015,1,2,2,64,1,2,0.1,dot,2000,0.1073815822601318,0.1143839359283447,24097
Tune,88.75,94.83,95.76,96.13,97.42,99.26,90.1,88.75,94.83,95.76,96.13,97.42,99.26,98.97,99.41,96.22,16,16,1,0.015,1,2,2,64,1,3,0.1,inner,2000,0.116281509399414,0.1228475570678711,22944
Tune,92.25,94.83,95.76,96.13,97.42,99.26,93.52,92.25,94.83,95.76,96.13,97.42,99.26,98.97,99.41,96.22,16,16,1,0.015,1,2,2,64,1,3,0.1,dot,2000,0.136366605758667,0.1434898376464843,28257
Tune,92.25,94.83,95.76,96.13,97.42,99.26,93.52,92.25,94.83,95.76,96.13,97.42,99.26,98.97,99.41,96.22,16,16,1,0.015,1,2,2,32,1,1,0.1,inner,2000,0.1173408031463623,0.1239449977874755,22944
Tune,92.25,94.83,95.76,96.13,97.42,99.26,93.52,92.25,94.83,95.76,96.13,97.42,99.26,98.97,99.41,96.22,16,16,1,0.015,1,2,2,32,1,1,0.1,dot,2000,0.1400604248046875,0.1469380855560302,22961
Tune,92.25,94.83,95.76,96.13,97.42,99.26,93.52,92.25,94.83,95.76,96.13,97.42,99.26,98.97,99.41,96.22,16,16,1,0.015,1,2,2,32,1,2,0.1,inner,2000,0.1298716068267822,0.1365177631378173,22944
Tune,92.25,94.83,95.76,96.13,97.42,99.26,93.52,92.25,94.83,95.76,96.13,97.42,99.26,98.97,99.41,96.22,16,16,1,0.015,1,2,2,32,1,2,0.1,dot,2000,0.1276962757110595,0.1345376968383789,23521
Tune,92.25,94.83,95.76,96.13,97.42,99.26,93.52,92.25,94.83,95.76,96.13,97.42,99.26,98.97,99.41,96.22,16,16,1,0.015,1,2,2,32,1,3,0.1,inner,2000,0.1103649139404296,0.1169438362121582,22944
Tune,92.25,94.83,95.76,96.13,97.42,99.26,93.52,92.25,94.83,95.76,96.13,97.42,99.26,99.11,99.32,96.22,16,16,1,0.015,1,2,2,32,1,3,0.1,dot,2000,0.1183960437774658,0.1254158020019531,24577
Tune,92.25,94.83,95.76,96.13,97.42,99.26,93.52,92.25,94.83,95.76,96.13,97.42,99.26,99.11,99.32,96.22,16,16,1,0.015,1,2,2,16,1,1,0.1,inner,2000,0.0774269104003906,0.0840601921081543,22944
Tune,92.25,94.83,95.76,96.13,97.42,99.26,93.52,92.25,94.83,95.76,96.13,97.42,99.26,99.11,99.32,95.94,16,16,1,0.015,1,2,2,16,1,1,0.1,dot,2000,0.1135053634643554,0.1203961372375488,22961
Tune,92.25,94.83,95.76,96.13,97.42,99.26,93.52,92.25,94.83,95.76,96.13,97.42,99.26,99.11,99.32,95.94,16,16,1,0.015,1,2,2,16,1,2,0.1,inner,2000,0.1071851253509521,0.1138267517089843,22944
Tune,92.25,94.83,95.76,96.13,97.42,99.26,93.52,92.25,94.83,95.76,96.13,97.42,99.26,99.11,99.32,95.94,16,16,1,0.015,1,2,2,16,1,2,0.1,dot,2000,0.1308062076568603,0.1375901699066162,23233
Tune,92.25,94.83,95.76,96.13,97.42,99.26,93.52,92.25,94.83,95.76,96.13,97.42,99.26,99.11,99.32,95.94,16,16,1,0.015,1,2,2,16,1,3,0.1,inner,2000,0.1248059272766113,0.1314399242401123,22944
Tune,92.25,94.83,95.76,96.13,97.42,99.26,93.52,92.25,94.83,95.76,96.13,97.42,99.26,99.11,99.32,95.94,16,16,1,0.015,1,2,2,16,1,3,0.1,dot,2000,0.1373202800750732,0.1444075107574463,23505
Tune,92.25,94.83,95.76,96.13,97.42,99.26,93.52,92.25,94.83,95.76,96.13,97.42,99.26,99.11,99.32,95.94,16,16,1,0.015,1,3,2,64,1,1,0.1,inner,2000,0.1102755069732666,0.1168408393859863,22944
Tune,92.25,94.83,95.76,96.13,97.42,99.26,93.52,92.25,94.83,95.76,96.13,97.42,99.26,99.11,99.32,95.94,16,16,1,0.015,1,3,2,64,1,1,0.1,dot,2000,0.1060364246368408,0.1126775741577148,22961
Tune,92.25,94.83,95.76,96.13,97.42,99.26,93.52,92.25,94.83,95.76,96.13,97.42,99.26,99.11,99.32,95.94,16,16,1,0.015,1,3,2,64,1,2,0.1,inner,2000,0.1183822154998779,0.1249897480010986,22944
Tune,92.25,94.83,95.76,96.13,97.42,99.26,93.52,92.25,94.83,95.76,96.13,97.42,99.26,99.11,99.32,95.94,16,16,1,0.015,1,3,2,64,1,2,0.1,dot,2000,0.101245641708374,0.1080052852630615,24097
Tune,92.25,94.83,95.76,96.13,97.42,99.26,93.52,92.25,94.83,95.76,96.13,97.42,99.26,99.11,99.32,95.94,16,16,1,0.015,1,3,2,64,1,3,0.1,inner,2000,0.1157517433166503,0.1223914623260498,22944
Tune,92.25,94.83,95.76,95.57,97.42,99.26,93.52,92.25,94.83,95.76,95.57,97.42,99.26,99.11,99.32,95.94,16,16,1,0.015,1,3,2,64,1,3,0.1,dot,2000,0.1348216533660888,0.1419060230255127,28257
Tune,92.25,94.83,95.76,95.57,97.42,99.26,93.52,92.25,94.83,95.76,95.57,97.42,99.26,99.11,99.32,95.94,16,16,1,0.015,1,3,2,32,1,1,0.1,inner,2000,0.1144607067108154,0.1211416721343994,22944
Tune,92.25,94.83,95.76,95.57,97.42,99.26,93.52,92.25,94.83,95.76,95.57,97.42,99.26,99.11,99.32,95.94,16,16,1,0.015,1,3,2,32,1,1,0.1,dot,2000,0.1179912090301513,0.1247949600219726,22961
Tune,92.25,94.83,95.76,95.57,97.42,99.26,93.52,92.25,94.83,95.76,95.57,97.42,99.26,99.11,99.32,95.94,16,16,1,0.015,1,3,2,32,1,2,0.1,inner,2000,0.0886585712432861,0.0953607559204101,22944
Tune,92.25,94.83,95.76,95.57,97.42,99.26,93.52,92.25,94.83,95.76,95.57,97.42,99.26,99.11,99.32,95.94,16,16,1,0.015,1,3,2,32,1,2,0.1,dot,2000,0.1192455291748046,0.1261820793151855,23521
Tune,92.25,94.83,95.76,95.57,97.42,99.26,93.52,92.25,94.83,95.76,95.57,97.42,99.26,99.11,99.32,95.94,16,16,1,0.015,1,3,2,32,1,3,0.1,inner,2000,0.1256072521209716,0.1321492195129394,22944
Tune,92.25,94.83,95.76,96.68,97.97,99.26,93.52,92.25,94.83,95.76,96.68,97.97,99.26,99.11,99.32,95.94,16,16,1,0.015,1,3,2,32,1,3,0.1,dot,2000,0.1443102359771728,0.1514077186584472,24577
Tune,92.25,94.83,95.76,96.68,97.97,99.26,93.52,92.25,94.83,95.76,96.68,97.97,99.26,99.11,99.32,95.94,16,16,1,0.015,1,3,2,16,1,1,0.1,inner,2000,0.1210813522338867,0.1273770332336425,22944
Tune,92.25,94.83,95.76,96.68,97.97,99.26,93.52,92.25,94.83,95.76,96.68,97.97,99.26,99.11,99.32,95.94,16,16,1,0.015,1,3,2,16,1,1,0.1,dot,2000,0.1262683868408203,0.133162260055542,22961
Tune,92.25,94.83,95.76,96.68,97.97,99.26,93.52,92.25,94.83,95.76,96.68,97.97,99.26,99.11,99.32,95.94,16,16,1,0.015,1,3,2,16,1,2,0.1,inner,2000,0.1176569461822509,0.1243989467620849,22944
Tune,92.25,94.83,95.76,96.68,97.97,99.26,93.52,92.25,94.83,95.76,96.68,97.97,99.26,99.11,99.32,95.94,16,16,1,0.015,1,3,2,16,1,2,0.1,dot,2000,0.1102151870727539,0.1172041893005371,23233
Tune,92.25,94.83,95.76,96.68,97.97,99.26,93.52,92.25,94.83,95.76,96.68,97.97,99.26,99.11,99.32,95.94,16,16,1,0.015,1,3,2,16,1,3,0.1,inner,2000,0.1206250190734863,0.1272876262664795,22944
Tune,92.25,94.83,95.76,96.68,97.97,99.26,93.52,92.25,94.83,95.76,96.68,97.97,99.26,99.11,99.32,95.94,16,16,1,0.015,1,3,2,16,1,3,0.1,dot,2000,0.1164848804473877,0.1237547397613525,23505
