Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,base_lr,batch_size,epochs
cora_runsv4271qw_GAE,73.62,91.14,95.94,97.23,97.42,98.34,83.21,73.62,91.14,95.94,97.23,97.42,98.34,99.11,99.22,91.05,64,64,0.1,1024,10000
cora_runvbfqaqkb_GAE,73.62,91.14,96.31,96.86,97.6,97.79,83.21,73.62,91.14,96.31,96.86,97.6,97.79,99.01,99.22,91.05,64,64,0.1,2048,10000
cora_run2jqrig1q_GAE,73.62,91.14,96.31,96.86,97.6,97.79,83.21,73.62,91.14,96.31,96.86,97.6,97.79,99.01,99.22,91.05,64,64,0.1,4096,10000
cora_runxuv3p5r0_GAE,73.62,91.14,96.31,96.86,97.6,97.79,83.21,73.62,91.14,96.31,96.86,97.6,97.79,99.01,99.22,91.05,64,64,0.1,8192,10000
cora_runxohjnstk_GAE,73.62,93.91,96.31,96.68,97.6,97.79,76.28,73.62,93.91,96.31,96.68,97.6,97.79,99.01,99.22,91.05,64,64,0.015,1024,10000
cora_run5hfqbz7a_GAE,73.62,93.91,96.31,96.68,97.6,97.79,76.28,73.62,93.91,96.31,96.68,97.6,97.79,99.01,99.22,91.05,64,64,0.015,2048,10000
cora_runwaouvh7t_GAE,73.62,93.91,96.31,96.68,97.6,97.79,76.28,73.62,93.91,96.31,96.68,97.6,97.79,99.01,99.22,91.05,64,64,0.015,4096,10000
cora_runoo07uufm_GAE,73.62,93.91,96.31,96.68,97.6,97.79,76.28,73.62,93.91,96.31,96.68,97.6,97.79,99.01,99.22,89.76,64,64,0.015,8192,10000
cora_runt74xy955_GAE,52.58,73.43,92.62,96.86,97.6,98.34,69.63,52.58,73.43,92.62,96.86,97.6,98.34,99.1,99.08,90.41,32,32,0.1,1024,10000
cora_runipwkn40b_GAE,52.58,73.43,95.76,96.31,97.79,98.71,69.63,52.58,73.43,95.76,96.31,97.79,98.71,99.1,99.08,90.96,32,64,0.1,1024,10000
cora_runwutwoabh_GAE,52.58,73.43,94.46,96.31,97.6,97.6,69.63,52.58,73.43,94.46,96.31,97.6,97.6,99.1,99.08,90.96,32,128,0.1,1024,10000
cora_run6dz778zx_GAE,52.58,63.28,94.46,96.31,97.6,97.6,69.63,52.58,63.28,94.46,96.31,97.6,97.6,99.1,99.08,92.8,32,256,0.1,1024,10000
cora_rung1x5zgz0_GAE,52.58,63.28,94.46,96.31,97.79,97.6,69.63,52.58,63.28,94.46,96.31,97.79,97.6,99.07,99.08,92.8,64,32,0.1,1024,10000
cora_runzav1ggqg_GAE,57.56,88.75,95.02,96.86,97.97,97.6,74.59,57.56,88.75,95.02,96.86,97.97,97.6,99.23,99.23,92.8,64,64,0.1,1024,10000
cora_runtgbwzdgg_GAE,52.03,79.89,93.73,96.86,97.6,98.71,67.04,52.03,79.89,93.73,96.86,97.6,98.71,99.04,99.16,91.33,32,32,0.01,1024,10000
cora_runxgkw6bv3_GAE,42.07,89.11,95.57,96.86,98.15,98.89,64.76,42.07,89.11,95.57,96.86,98.15,98.89,99.23,99.23,92.8,64,128,0.1,1024,10000
cora_runiv9gi34f_GAE,52.03,79.89,95.39,96.68,97.42,98.71,67.04,52.03,79.89,95.39,96.68,97.42,98.71,98.87,99.16,90.41,32,64,0.01,1024,10000
cora_rundqbcs3bk_GAE,42.07,92.99,95.57,96.86,98.15,99.08,64.76,42.07,92.99,95.57,96.86,98.15,99.08,99.28,99.47,94.74,64,256,0.1,1024,10000
cora_rungif4jzuz_GAE,52.03,79.89,95.39,96.68,97.6,97.97,67.04,52.03,79.89,95.39,96.68,97.6,97.97,99.02,99.16,92.62,32,128,0.01,1024,10000
cora_runiekb03m4_GAE,42.07,92.99,95.57,96.86,98.15,99.08,64.76,42.07,92.99,95.57,96.86,98.15,99.08,99.28,99.47,94.74,128,32,0.1,1024,10000
